@RELATION discussion

@ATTRIBUTE  A  NUMERIC
@ATTRIBUTE  B  NUMERIC
@ATTRIBUTE  C  NUMERIC

@ATTRIBUTE class {1, 0}

@DATA
0.004201680672268908,3,321,0
0.002801120448179272,2,355,0
0.00267379679144385,2,404,0
0.0158273381294964,11,663,1
0.01236476043276662,8,322,1
0.01045751633986928,8,673,1
0.01011804384485666,6,266,1
0.01353637901861252,8,317,1
0.01228878648233487,8,429,1
0.002923976608187135,1,149,0
0.00129366106080207,1,793,0
0.001618122977346278,1,503,0
0.008333333333333333,4,286,0
0.008113590263691683,4,292,0
0.006837606837606838,4,382,0
0.009523809523809525,7,694,1
0.008787346221441126,10,2015,1
0.004555808656036446,2,174,1
0.005089058524173028,4,841,1
0.01476793248945148,7,283,1
0.00273972602739726,2,175,0
0.0,1,175,0
0.0,1,175,0
0.005434782608695652,2,179,0
0.002469135802469136,1,197,0
0.01805054151624549,5,133,0
0.008438818565400843,4,395,1
0.01442307692307692,6,317,1
0.01158940397350993,7,616,1
0.009661835748792272,4,241,1
0.02290076335877863,9,216,1
0.02452316076294278,9,210,1
0.0,1,117,0
0.0,1,117,0
0.0,1,117,0
0.002164502164502165,1,383,0
0.0115606936416185,4,261,0
0.006611570247933884,4,577,0
0.005772005772005772,4,672,1
0.01176470588235294,11,1483,1
0.007648183556405354,4,423,1
0.01754385964912281,10,672,1
0.008695652173913044,7,1267,1
0.004291845493562232,2,350,1
0.002824858757062147,1,220,0
0.0028328611898017,1,219,0
0.002793296089385475,1,220,0
0.006944444444444444,2,174,0
0.005305039787798408,2,273,0
0.008174386920980926,3,263,0
0.004444444444444444,2,350,1
0.02527075812274368,7,111,1
0.02076124567474048,6,122,1
0.004405286343612335,2,93,0
0.0,1,93,0
0.0,1,93,0
0.005649717514124294,2,144,0
0.006060606060606061,2,124,0
0.01063829787234043,3,112,0
0.0163265306122449,8,528,1
0.02362204724409449,6,145,1
0.00892857142857143,3,137,1
0.006928406466512702,3,478,1
0.04819277108433735,12,133,1
0.0,1,86,0
0.0,1,86,0
0.0,1,86,0
0.01587301587301587,4,64,0
0.01895734597156398,4,43,0
0.004178272980501393,3,309,0
0.007183908045977011,5,317,1
0.009775171065493646,10,932,1
0.01166180758017493,8,295,1
0.01018675721561969,6,168,1
0.01138211382113821,7,185,1
0.009775171065493646,10,932,1
0.0,1,93,0
0.00425531914893617,3,93,0
0.004273504273504274,2,93,0
0.002267573696145125,2,534,0
0.002257336343115124,2,533,0
0.006711409395973154,6,518,0
0.002454991816693944,3,1417,1
0.003588516746411483,3,524,1
0.004390779363336992,4,829,1
0.01102941176470588,9,499,1
0.006054490413723512,6,935,1
0.005108556832694764,4,479,1
0.0,2,386,0
0.0,2,386,0
0.0,1,386,0
0.002074688796680498,1,226,0
0.002053388090349076,1,242,0
0.004545454545454545,2,201,0
0.005190311418685121,3,340,1
0.00351493848857645,2,677,1
0.006600660066006601,6,1795,1
0.01762114537444934,8,214,1
0.005928853754940711,3,304,1
0.01587301587301587,8,446,1
0.003278688524590164,1,67,0
0.003289473684210526,1,59,0
0.006578947368421053,2,61,0
