@RELATION discussion

@ATTRIBUTE  A  NUMERIC
@ATTRIBUTE  B  NUMERIC

@ATTRIBUTE class {1, 0}

@DATA
0.004207573632538569,3,0
0.002801120448179272,2,0
0.002656042496679947,2,0
0.01656626506024096,11,1
0.0136986301369863,8,1
0.01045751633986928,8,1
0.002923976608187135,1,0
0.001297016861219196,1,0
0.001508295625942685,1,0
0.008350730688935283,4,0
0.008113590263691683,4,0
0.006814310051107325,4,0
0.009523809523809525,7,1
0.008787346221441126,10,1
0.004555808656036446,2,1
0.00273972602739726,2,0
0.0,1,0
0.0,1,0
0.005390835579514825,2,0
0.002463054187192118,1,0
0.01811594202898551,5,0
0.008438818565400843,4,1
0.0144578313253012,6,1
0.01158940397350993,7,1
0.0,1,0
0.0,1,0
0.0,1,0
0.002164502164502165,1,0
0.01173020527859238,4,0
0.006745362563237774,4,0
0.005738880918220947,4,1
0.01171458998935037,11,1
0.007604562737642586,4,1
0.002824858757062147,1,0
0.0028328611898017,1,0
0.002793296089385475,1,0
0.006944444444444444,2,0
0.005305039787798408,2,0
0.008174386920980926,3,0
0.004444444444444444,2,1
0.02527075812274368,7,1
0.02076124567474048,6,1
0.004405286343612335,2,0
0.0,1,0
0.0,1,0
0.005665722379603399,2,0
0.006097560975609756,2,0
0.01063829787234043,3,0
0.016359918200409,8,1
0.02352941176470588,6,1
0.008902077151335312,3,1
0.0,1,0
0.0,1,0
0.0,1,0
0.0158102766798419,4,0
0.01904761904761905,4,0
0.004195804195804196,3,0
0.007173601147776184,5,1
0.009775171065493646,10,1
0.0116448326055313,8,1
0.0,1,0
0.004273504273504274,3,0
0.004291845493562232,2,0
0.002259887005649718,2,0
0.002259887005649718,2,0
0.006711409395973154,6,0
0.002452984464431725,3,1
0.003588516746411483,3,1
0.004390779363336992,4,1
0.0,2,0
0.0,2,0
0.0,1,0
0.002074688796680498,1,0
0.002053388090349076,1,0
0.004524886877828054,2,0
0.005181347150259067,3,1
0.00352112676056338,2,1
0.006600660066006601,6,1
0.003289473684210526,1,0
0.00326797385620915,1,0
0.006578947368421053,2,0
